simple_system_prompt	env	CLAUDE_CODE_SIMPLE_SYSTEM_PROMPT=1
simple	env	CLAUDE_CODE_SIMPLE=1
no_git_instructions	env	CLAUDE_CODE_DISABLE_GIT_INSTRUCTIONS=1
no_explore_plan_agents	env	CLAUDE_CODE_DISABLE_EXPLORE_PLAN_AGENTS=1
no_bundled_skills_env	env	CLAUDE_CODE_DISABLE_BUNDLED_SKILLS=1
no_claude_mds	env	CLAUDE_CODE_DISABLE_CLAUDE_MDS=1
no_auto_memory	env	CLAUDE_CODE_DISABLE_AUTO_MEMORY=1
no_org_memory	env	CLAUDE_CODE_DISABLE_ORG_MEMORY=1
no_policy_skills	env	CLAUDE_CODE_DISABLE_POLICY_SKILLS=1
no_cc_skill	env	CLAUDE_CODE_DISABLE_CLAUDE_CODE_SKILL=1
no_api_skill	env	CLAUDE_CODE_DISABLE_CLAUDE_API_SKILL=1
no_cron	env	CLAUDE_CODE_DISABLE_CRON=1
no_background_tasks	env	CLAUDE_CODE_DISABLE_BACKGROUND_TASKS=1
no_artifact_env	env	CLAUDE_CODE_DISABLE_ARTIFACT=1
no_workflows_env	env	CLAUDE_CODE_DISABLE_WORKFLOWS=1
no_agent_view	env	CLAUDE_CODE_DISABLE_AGENT_VIEW=1
no_dir_sync	env	CLAUDE_CODE_DISABLE_DIR_SYNC=1
no_advisor_tool	env	CLAUDE_CODE_DISABLE_ADVISOR_TOOL=1
no_attachments	env	CLAUDE_CODE_DISABLE_ATTACHMENTS=1
no_file_checkpointing	env	CLAUDE_CODE_DISABLE_FILE_CHECKPOINTING=1
no_thinking	env	CLAUDE_CODE_DISABLE_THINKING=1
hide_cwd	env	CLAUDE_CODE_HIDE_CWD=1
no_todo_tools	env	CLAUDE_CODE_ENABLE_TODO_TOOLS=0
no_tasks	env	CLAUDE_CODE_ENABLE_TASKS=0
no_plugin_mcp	env	CLAUDE_CODE_SKIP_PLUGIN_MCP_SERVERS=1
no_terminal_mcp	env	CLAUDE_CODE_TERMINAL_MCP_TOOLS=0
no_remote_control	setting	{"disableRemoteControl":true}
no_all_hooks	setting	{"disableAllHooks":true}
no_agentview_setting	setting	{"disableAgentView":true}
no_autoupdates	setting	{"disableAutoUpdates":true}
plugin_off	setting	{"enabledPlugins":{}}
builtin_agent_off	setting	{"disabledBuiltinTools":["Agent"]}
builtin_agent_listagents_off	setting	{"disabledBuiltinTools":["Agent","ListAgents"]}
builtin_big_cut	setting	{"disabledBuiltinTools":["Agent","ListAgents","ShareOnboardingGuide","ToolSearch","Skill"]}
builtin_share_off	setting	{"disabledBuiltinTools":["ShareOnboardingGuide"]}
builtin_toolsearch_off	setting	{"disabledBuiltinTools":["ToolSearch"]}
builtin_skill_off	setting	{"disabledBuiltinTools":["Skill"]}
